LIPO_Battery Bus Voltage,LIPO_Battery Shunt Voltage,LIPO_Battery Load Voltage,LIPO_Battery Current 1,Solar Cell Bus Voltage 2,Solar Cell Shunt Voltage 2,Solar Cell Load Voltage 2,Solar Cell Current 2,Output Bus Voltage 3,Output Shunt Voltage 3,Output Load Voltage 3,Output Current 3,Sample Time
3.624,32.96,3.65696,329.59999999999997,4.672,-3.2800000000000002,4.6687199999999995,32.8,4.992,23.0,5.015,204.4,2019-11-06_16:33:06
3.624,33.36,3.65736,333.59999999999997,4.672,-3.2800000000000002,4.6687199999999995,32.8,4.992,23.16,5.01516,212.8,2019-11-06_16:33:16
3.624,33.28,3.65728,332.8,4.672,-3.2800000000000002,4.6687199999999995,32.8,4.992,23.0,5.015,205.59999999999997,2019-11-06_16:33:17
3.624,34.12,3.6581200000000003,341.19999999999993,4.672,-3.2800000000000002,4.6687199999999995,32.8,4.992,22.76,5.01476,209.20000000000002,2019-11-06_16:33:18
3.592,37.32,3.62932,373.2,4.64,-1.04,4.63896,10.0,4.992,23.64,5.01564,205.2,2019-11-06_17:00:02
3.464,77.4,3.5414,634.8,0.04,0.0,0.04,-0.0,4.952,41.08,4.99308,410.79999999999995,2019-11-06_18:00:01
3.448,57.160000000000004,3.50516,571.6,0.024,0.0,0.024,-0.0,4.976,31.6,5.0076,316.0,2019-11-06_19:00:02
3.392,65.48,3.45748,644.8,0.016,0.0,0.016,-0.0,4.968,36.0,5.004,360.0,2019-11-06_20:00:01
3.368,58.08,3.42608,642.0,0.016,0.0,0.016,-0.0,4.976,32.96,5.00896,329.59999999999997,2019-11-06_21:00:01
3.2720000000000002,67.64,3.33964,642.3999999999999,0.016,0.0,0.016,-0.0,4.968,35.4,5.0034,353.99999999999994,2019-11-06_22:00:01
3.224,63.36,3.28736,633.5999999999999,0.008,0.0,0.008,-0.0,4.976,32.04,5.00804,320.4,2019-11-06_23:00:02
2.84,75.72,2.91572,745.6,0.016,0.0,0.016,-0.0,4.976,33.96,5.00996,339.59999999999997,2019-11-07_00:00:01
